classification,Trade_Status,Win_Rate_Percent
Extreme Fear,0.7621564482029598,76.21564482029598
Extreme Greed,0.8916702632714717,89.16702632714717
Fear,0.8728864734299517,87.28864734299518
Greed,0.7689068954559898,76.89068954559897
Neutral,0.8238889806707418,82.38889806707418
