classification,count,mean,std,min,25%,50%,75%,max
Extreme Fear,10231.0,3712.781932362428,9814.870363467731,11.08,342.62,832.78,2094.42,88887.57
Extreme Greed,20565.0,2418.7250401167034,7205.402963299568,11.06,99.0,445.74,1557.34,89999.14
Fear,29100.0,4074.2461113402064,10686.278273045846,11.06,243.39000000000001,738.12,2278.5125000000003,89978.67
Greed,24747.0,3264.143866327231,8726.756890180883,11.06,165.125,554.99,1999.86,89951.44
Neutral,17701.0,3259.464721202192,8957.506909484406,11.06,190.12,573.73,2008.66,89978.37
