Trade_Status,count,mean,std,min,25%,50%,75%,max
0,17539.0,-168.127426310508,1516.7023775211794,-117990.1041,-40.07079,-9.98775,-1.749597,-3.8e-05
1,86863.0,152.0011268246089,1249.644412564058,4e-06,2.127533,11.36016,52.64103,135329.0901
