classification,Side_Clean,Trade_Status,Win_Rate_Percent
Extreme Fear,BUY,0.7060518731988472,70.60518731988472
Extreme Fear,SELL,0.7862144720582178,78.62144720582178
Extreme Greed,BUY,0.8595384615384616,85.95384615384616
Extreme Greed,SELL,0.906221695812722,90.6221695812722
Fear,BUY,0.862513542795233,86.2513542795233
Fear,SELL,0.8775391194479542,87.75391194479542
Greed,BUY,0.6891474918451909,68.91474918451908
Greed,SELL,0.8343092604641076,83.43092604641076
Neutral,BUY,0.7768298925098106,77.68298925098107
Neutral,SELL,0.846316474223451,84.6316474223451
