,precision,recall,f1-score,support
0,0.44606782106782106,0.7049600912200684,0.5463985859478568,3508.0
1,0.9325161374453935,0.8232314511022851,0.8744726383369,17373.0
accuracy,0.8033619079545998,0.8033619079545998,0.8033619079545998,0.8033619079545998
macro avg,0.6892919792566072,0.7640957711611768,0.7104356121423785,20881.0
weighted avg,0.850793006663701,0.8033619079545998,0.8193563232283917,20881.0
