Feature,Importance
value,0.3585220375636625
Size Tokens,0.1956998891310732
Fee,0.185873342124262
Size USD,0.1266154067550826
Side_Clean_SELL,0.05348464985702194
classification_Fear,0.0314784011474859
classification_Greed,0.023579342774558865
classification_Extreme Greed,0.014935711088642641
classification_Neutral,0.009811219558210422
